in:Span,in:Side height,in:Trust Type,in:Segments,in:Midspan deflection,in:Shape exponent,in:Krümmungsanteil,in:MaterialSwitch bottom,in:MaterialSwitch top,in:MaterialSwitch right_dia,in:MaterialSwitch left_dia,in:MaterialSwitch vertical,in:MaterialSwitch column,in:TIMBER Type Switch bottom,in:TIMBER Type Switch top,in:TIMBER Type Switch right dia,in:TIMBER Type Switch left dia,in:TIMBER Type Switch vertical,in:TIMBER Type Switch column,in:STEEL CrossSectionSwitch bottom,in:STEEL CrossSectionSwitch top,in:STEEL CrossSectionSwitch right Diagonal,in:STEEL CrossSectionSwitch left Diagonal,in:STEEL CrossSectionSwitch vertical,in:STEEL CrossSectionSwitch column,in:Diameter_bottom,in:Diameter_top,in:Diameter_r_diagonal,in:Diameter_l_diagonal,in:Diameter_vertical,in:Diameter_column,in:Number of bars_bottom,in:Number of bars_top,in:Number of bars_r_diagonal,in:Number of bars_l_diagonal,in:Number of bars_vertical,in:Number of bars_column,out:wlc_Minimise_CO2,out:imgFile,img
30,3.3,4,2,2.49,2.49,0.64,0,0,0,1,0,1,25,15,20,15,16,5,9,3,1,2,5,1,7,8,8,2,4,2,18,10,13,13,18,9,1.1058e+6,img_0086.png,img_0086_Front.png
30,2.4,6,13,2.82,0.76,0.38,1,0,0,1,1,0,23,11,15,16,18,17,12,3,8,5,4,13,4,4,1,4,7,2,8,1,14,12,1,10,1.0379e+7,img_0087.png,img_0087_Front.png
30,2.4,1,17,1.84,0.55,0.68,0,1,1,0,0,0,7,18,21,21,8,6,12,7,7,7,7,9,0,7,8,7,1,7,3,5,3,11,9,19,2.2649e+6,img_0088.png,img_0088_Front.png
30,4.1,4,19,2.45,1.30,0.54,0,1,0,0,1,0,6,6,21,5,19,18,9,8,11,6,9,4,6,4,7,5,5,1,14,10,5,1,9,16,1.9753e+6,img_0089.png,img_0089_Front.png
30,2.7,2,28,3.88,0.58,0.06,0,1,1,0,1,0,11,23,0,22,7,13,0,11,9,1,2,0,2,6,1,7,6,7,8,15,5,19,8,18,1.3532e+6,img_0090.png,img_0090_Front.png
30,0,4,20,0.71,1.67,0.37,1,1,1,1,1,1,9,17,18,18,9,6,7,3,11,4,11,4,3,0,7,2,7,6,14,18,4,17,12,1,6.1863e+6,img_0091.png,img_0091_Front.png
30,0.5,6,5,1.33,2.49,0.07,1,1,0,0,0,1,22,8,2,1,16,19,4,7,7,3,0,6,5,4,7,2,7,3,16,19,17,2,4,19,8.6844e+6,img_0092.png,img_0092_Front.png
30,3.7,2,27,2.91,1.75,0.01,1,0,0,0,0,1,20,13,21,3,15,3,0,8,8,11,6,7,4,4,7,1,2,5,7,5,13,4,11,3,510968.610178,img_0093.png,img_0093_Front.png
30,1.9,5,8,1.91,2.02,0.82,0,0,1,0,0,0,1,8,8,1,1,0,12,10,5,13,3,12,7,3,1,8,8,4,3,1,9,17,19,16,7.2333e+6,img_0094.png,img_0094_Front.png
30,4.5,2,20,1.37,2.13,0.09,0,1,0,0,1,0,18,5,22,11,22,22,1,4,4,4,3,3,1,5,6,2,6,6,9,6,8,4,13,3,883326.25431,img_0095.png,img_0095_Front.png
30,4.5,4,18,0.60,1.48,0.51,1,0,0,1,1,0,18,20,7,7,12,9,0,10,8,10,12,9,6,3,2,3,8,6,6,11,1,19,9,4,2.1116e+6,img_0096.png,img_0096_Front.png
30,4.7,6,17,3.25,2.38,0.43,1,1,1,1,1,1,9,3,10,12,20,12,8,11,7,1,12,6,0,8,1,0,5,7,16,14,6,11,2,4,3.9921e+6,img_0097.png,img_0097_Front.png
30,3.3,6,4,1.12,0.64,0.33,1,0,1,1,1,1,9,20,13,15,7,6,7,7,11,9,7,9,2,7,4,0,7,5,0,13,5,19,11,13,2.2112e+6,img_0098.png,img_0098_Front.png
30,0.6,2,25,3.85,1.10,0.71,1,1,0,1,0,1,8,22,25,24,7,3,1,8,7,4,3,7,3,8,8,2,1,4,15,0,3,5,14,6,2.3541e+6,img_0099.png,img_0099_Front.png
